species_id,official_name,compact_name,kingdom,type
287,Pseudomonas aeruginosa,Pseudomonas aeruginosa,,core
292,Burkholderia cepacia,Burkholderia cepacia,,core
301,Pseudomonas oleovorans,Pseudomonas oleovorans,,core
340,Xanthomonas campestris pv. campestris,Xanthomonas campestris campestris,,core
359,Agrobacterium rhizogenes,Agrobacterium rhizogenes,,core
394,Sinorhizobium fredii NGR234,Sinorhizobium fredii NGR234,,core
470,Acinetobacter baumannii,Acinetobacter baumannii,,core
511,Alcaligenes faecalis,Alcaligenes faecalis,,core
549,Pantoea agglomerans,Pantoea agglomerans,,core
571,Klebsiella oxytoca,Klebsiella oxytoca,,periphery
573,Klebsiella pneumoniae,Klebsiella pneumoniae,,core
585,Proteus vulgaris,Proteus vulgaris,,core
633,Yersinia pseudotuberculosis,Yersinia pseudotuberculosis,,core
672,Vibrio vulnificus,Vibrio vulnificus,,core
747,Pasteurella multocida,Pasteurella multocida,,core
758,Pasteurella pneumotropica,Pasteurella pneumotropica,,periphery
813,Chlamydia trachomatis,Chlamydia trachomatis,,core
827,Campylobacter ureolyticus,Campylobacter ureolyticus,,periphery
882,Desulfovibrio vulgaris str. Hildenborough,Desulfovibrio vulgaris Hildenborough,,core
883,Desulfovibrio vulgaris str. 'Miyazaki F',Desulfovibrio vulgaris Miyazaki,,periphery
991,Flavobacterium hydatis,Flavobacterium hydatis,,core
1044,Erythrobacter longus,Erythrobacter longus,,periphery
1140,Synechococcus elongatus PCC7942,Synechococcus elongatus PCC7942,,core
1147,Synechocystis sp. PCC6714,Synechocystis sp. PCC6714,,periphery
1148,Synechocystis sp. PCC6803,Synechocystis sp. PCC6803,,core
1246,Leuconostoc lactis,Leuconostoc lactis,,core
1274,Dermacoccus nishinomiyaensis,Dermacoccus nishinomiyaensis,,core
1280,Staphylococcus aureus,Staphylococcus aureus,,core
1288,Staphylococcus xylosus,Staphylococcus xylosus,,core
1314,Streptococcus pyogenes,Streptococcus pyogenes,,core
1346,Streptococcus iniae,Streptococcus iniae,,periphery
1396,Bacillus cereus,Bacillus cereus,,core
1405,Bacillus mycoides,Bacillus mycoides,,periphery
1507,Clostridium sp. ATCC29733,Clostridium sp. ATCC29733,,periphery
1511,[Clostridium] sticklandii,Clostridium sticklandii,,periphery
1605,Lactobacillus animalis,Lactobacillus animalis,,core
1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,,core
1687,Bifidobacterium coryneforme,Bifidobacterium coryneforme,,periphery
1688,Bifidobacterium cuniculi,Bifidobacterium cuniculi,,periphery
1690,Bifidobacterium pseudolongum subsp. globosum,Bifidobacterium pseudolongum globosum,,periphery
1692,Bifidobacterium magnum,Bifidobacterium magnum,,periphery
1693,Bifidobacterium minimum,Bifidobacterium minimum,,periphery
1713,Oerskovia turbata,Oerskovia turbata,,core
1719,Corynebacterium pseudotuberculosis,Corynebacterium pseudotuberculosis,,core
1828,Rhodococcus fascians,Rhodococcus fascians,,periphery
1869,Actinoplanes utahensis,Actinoplanes utahensis,,periphery
1894,Streptomyces aureofaciens,Streptomyces aureofaciens,,core
1896,Streptomyces bikiniensis,Streptomyces bikiniensis,,periphery
1906,Streptomyces fradiae,Streptomyces fradiae,,core
1907,Streptomyces glaucescens,Streptomyces glaucescens,,periphery
1944,Streptomyces halstedii,Streptomyces halstedii,,periphery
1957,Streptomyces sclerotialus,Streptomyces sclerotialus,,periphery
1961,Streptomyces virginiae,Streptomyces virginiae,,periphery
1968,Streptomyces cellulosae,Streptomyces cellulosae,,periphery
1996,Microtetraspora glauca,Microtetraspora glauca,,periphery
2002,Streptosporangium amethystogenes,Streptosporangium amethystogenes,,periphery
2045,Pimelobacter simplex,Pimelobacter simplex,,core
2055,Gordonia terrae,Gordonia terrae,,core
2074,Pseudonocardia autotrophica,Pseudonocardia autotrophica,,periphery
2110,Mycoplasma agalactiae,Mycoplasma agalactiae,,core
2113,Mycoplasma californicum,Mycoplasma californicum,,core
2325,Thermoanaerobacter kivui,Thermoanaerobacter kivui,,core
2340,Solemya velum gill symbiont,Solemya velum,,core
2342,Candidatus Sodalis pierantonius str. SOPE,Sodalis pierantonius,,periphery
2423,Fervidobacterium islandicum,Fervidobacterium islandicum,,core
2711,Citrus sinensis,Citrus sinensis,,periphery
2754,Synergistes jonesii,Synergistes jonesii,,periphery
2850,Phaeodactylum tricornutum,Phaeodactylum tricornutum,,core
2880,Ectocarpus siliculosus,Ectocarpus siliculosus,,core
2903,Emiliania huxleyi,Emiliania huxleyi,,core
3055,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,,core
3067,Volvox carteri,Volvox carteri,,periphery
3075,Auxenochlorella protothecoides,Auxenochlorella protothecoides,,periphery
3218,Physcomitrella patens,Physcomitrella patens,,core
3641,Theobroma cacao,Theobroma cacao,,core
3649,Carica papaya,Carica papaya,,periphery
3656,Cucumis melo,Cucumis melo,,core
3659,Cucumis sativus,Cucumis sativus,,periphery
3694,Populus trichocarpa,Populus trichocarpa,,core
3702,Arabidopsis thaliana,Arabidopsis thaliana,,core
3711,Brassica rapa,Brassica rapa,,core
3712,Brassica oleracea,Brassica oleracea,,periphery
3750,Malus domestica,Malus domestica,,core
3760,Prunus persica,Prunus persica,,periphery
3827,Cicer arietinum,Cicer arietinum,,periphery
3847,Glycine max,Glycine max,,core
3880,Medicago truncatula,Medicago truncatula,,periphery
3885,Phaseolus vulgaris,Phaseolus vulgaris,,core
3983,Manihot esculenta,Manihot esculenta,,core
3988,Ricinus communis,Ricinus communis,,periphery
4006,Linum usitatissimum,Linum usitatissimum,,periphery
4081,Solanum lycopersicum,Solanum lycopersicum,,core
4096,Nicotiana sylvestris,Nicotiana sylvestris,,periphery
4098,Nicotiana tomentosiformis,Nicotiana tomentosiformis,,periphery
4113,Solanum tuberosum,Solanum tuberosum,,core
4155,Erythranthe guttata,Erythranthe guttata,,core
4432,Nelumbo nucifera,Nelumbo nucifera,,core
4513,Hordeum vulgare,Hordeum vulgare,,core
4529,Oryza rufipogon,Oryza rufipogon,,periphery
4530,Oryza sativa,Oryza sativa,,core
4533,Oryza brachyantha,Oryza brachyantha,,periphery
4536,Oryza nivara,Oryza nivara,,periphery
4537,Oryza punctata,Oryza punctata,,periphery
4538,Oryza glaberrima,Oryza glaberrima,,periphery
4555,Setaria italica,Setaria italica,,core
4558,Sorghum bicolor,Sorghum bicolor,,periphery
4565,Triticum aestivum,Triticum aestivum,,periphery
4572,Triticum urartu,Triticum urartu,,periphery
4577,Zea mays,Zea mays,,core
4641,Musa acuminata,Musa acuminata,,core
4787,Phytophthora infestans,Phytophthora infestans,,core
4792,Phytophthora parasitica,Phytophthora parasitica,,periphery
4896,Schizosaccharomyces pombe,Schizosaccharomyces pombe,,core
4897,Schizosaccharomyces japonicus,Schizosaccharomyces japonicus,,periphery
4899,Schizosaccharomyces octosporus,Schizosaccharomyces octosporus,,core
4909,Pichia kudriavzevii,Pichia kudriavzevii,,periphery
4920,Millerozyma farinosa,Millerozyma farinosa,,periphery
4922,Komagataella pastoris,Komagataella pastoris,,core
4924,Scheffersomyces stipitis,Scheffersomyces stipitis,,core
4929,Meyerozyma guilliermondii,Meyerozyma guilliermondii,,periphery
4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,,core
4950,Torulaspora delbrueckii,Torulaspora delbrueckii,,core
4952,Yarrowia lipolytica,Yarrowia lipolytica,,core
4956,Zygosaccharomyces rouxii,Zygosaccharomyces rouxii,,core
4959,Debaryomyces hansenii,Debaryomyces hansenii,,periphery
5011,Taphrina deformans,Taphrina deformans,,core
5016,Bipolaris maydis,Bipolaris maydis,,periphery
5017,Bipolaris zeicola,Bipolaris zeicola,,periphery
5022,Leptosphaeria maculans,Leptosphaeria maculans,,core
5037,Histoplasma capsulatum,Histoplasma capsulatum,,periphery
5039,Blastomyces dermatitidis,Blastomyces dermatitidis,,periphery
5057,Aspergillus clavatus,Aspergillus clavatus,,periphery
5059,Aspergillus flavus,Aspergillus flavus,,periphery
5061,Aspergillus niger,Aspergillus niger,,core
5062,Aspergillus oryzae,Aspergillus oryzae,,periphery
5111,Claviceps purpurea,Claviceps purpurea,,periphery
5127,Fusarium fujikuroi,Fusarium fujikuroi,,periphery
5141,Neurospora crassa,Neurospora crassa,,core
5145,Podospora anserina,Podospora anserina,,periphery
5147,Sordaria macrospora,Sordaria macrospora,,periphery
5180,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum,,periphery
5207,Cryptococcus neoformans,Cryptococcus neoformans,,periphery
5217,Tremella mesenterica,Tremella mesenterica,,core
5270,Ustilago maydis,Ustilago maydis,,core
5286,Rhodosporidium toruloides,Rhodosporidium toruloides,,core
5297,Puccinia graminis,Puccinia graminis,,core
5334,Schizophyllum commune,Schizophyllum commune,,periphery
5341,Agaricus bisporus,Agaricus bisporus,,core
5346,Coprinopsis cinerea,Coprinopsis cinerea,,core
5465,Colletotrichum orbiculare,Colletotrichum orbiculare,,periphery
