Gene_Id_189,ABEN_Rep1,ABEN_Rep2,ABEN_Rep3,EN_Rep1,EN_Rep2,EN_Rep3
Glyma0002s50,1.94362,2.39192,1.85636,2.36818,2.96387,2.45688
Glyma0003s50,3.4921,2.79448,3.0966,4.91303,6.37335,5.17544
Glyma0005s50,0.689886,0.415461,1.34445,3.01E-05,0.454325,0.866533
Glyma0006s50,8.67338,8.0021,8.15271,11.2832,12.2,11.9307
Glyma0007s50,0.544619,0.596713,0.732832,0.780751,0.484955,0.407594
Glyma01g00210,3.04501,2.75879,1.86769,1.9277,2.27004,2.73558
Glyma01g00241,0.0748981,0.0965378,0.0721792,0.067096,0.1175,0.037473
Glyma01g00270,1.3108,1.12634,0.959107,1.04378,1.21859,1.04445
Glyma01g00280,0.894897,0.00391864,0.00381932,0.325373,0.0393577,0
Glyma01g00291,2.83058,2.98897,0.00622766,1.90361,2.58813,2.09864
Glyma01g00300,0,0,0.239209,1.09105,0,0.55717
Glyma01g00311,0.000786375,0.000506787,0.000380958,0.000929285,0,0.000484742
Glyma01g00321,4.37888,3.50998,4.27917,4.10897,4.2945,5.05591
Glyma01g00341,4.07407,3.53391,2.44729,4.43714,2.86511,3.65713
Glyma01g00361,0.117222,0.0865254,0.126571,0.0525324,0.305174,0.334632
Glyma01g00380,0.000574042,0.000396353,0.000138065,0,2.23781,0.000711658
Glyma01g00400,4.40427,3.35762,4.7406,3.31947,1.95922,4.14273
Glyma01g00410,1.8221,2.0682,1.35091,3.7345,1.78626,3.42138
Glyma01g00420,7.04857,6.1973,3.93006,10.7344,10.7221,9.09344
Glyma01g00430,14.1693,12.8505,12.7237,20.9031,14.279,15.6072
Glyma01g00440,0,0,0,0.00117011,0,0.104863
Glyma01g00450,1.77756,0.46283,0,0,0.12297,0
Glyma01g00460,4.08863,4.34707,2.33062,1.28524,0.986766,0.801105
Glyma01g00470,2.55045,2.82203,2.29789,4.03171,3.57162,3.20114
Glyma01g00481,0.196453,0.126606,0.157768,0.0586629,0.0770489,0.0491447
Glyma01g00490,0.0907834,0.0585063,0,0.195343,0.0760199,0
Glyma01g00500,0.906774,0.116876,0.218464,0.129683,0,0.0362138
Glyma01g00510,0.000980049,6.07E-05,0.00028691,1.61388,0.000199287,0.00239525
Glyma01g00520,0,0,9.08E-05,0,0,0.000179716
Glyma01g00530,0.562722,0.0485373,0.206716,0,0.0589827,0.167356
Glyma01g00541,22.7102,20.5499,32.4449,30.3995,28.3045,34.1567
Glyma01g00551,6.38E-07,0,0,0,6.43E-06,0
Glyma01g00560,6.80577,4.98078,7.62047,8.67038,10.8616,11.0443
