"pathwayID","overlap","n","description","memo","Pval","fold"
"1",1,"24","Mitochondrial genome maintenance "," http://amigo.geneontology.org/amigo/term/GO:0000002",0.556918413783459,1.27579162410623
"10",1,"33","Very long-chain fatty acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0000038",0.522849937607846,1.40337078651685
"10000",1,"12","Negative regulation of excitatory postsynaptic potential "," http://amigo.geneontology.org/amigo/term/GO:0090394",0.256052708554122,3.50842696629213
"10001",1,"68","Cellular senescence "," http://amigo.geneontology.org/amigo/term/GO:0090398",0.874528612189685,0.501203852327448
"10006",11,"500","Organophosphate biosynthetic process "," http://amigo.geneontology.org/amigo/term/GO:0090407",0.766108842033516,0.843556210474612
"10011",1,"16","Catecholamine uptake "," http://amigo.geneontology.org/amigo/term/GO:0090493",0.30910664199858,2.80674157303371
"10012",1,"15","Dopamine uptake "," http://amigo.geneontology.org/amigo/term/GO:0090494",0.30910664199858,2.80674157303371
"10015",3,"152","RNA phosphodiester bond hydrolysis "," http://amigo.geneontology.org/amigo/term/GO:0090501",0.689158388805936,0.859206603989911
"10016",1,"76","RNA phosphodiester bond hydrolysis, endonucleolytic "," http://amigo.geneontology.org/amigo/term/GO:0090502",0.843187347823344,0.561348314606742
"10018",1,"37","Epiboly "," http://amigo.geneontology.org/amigo/term/GO:0090504",0.522849937607846,1.40337078651685
"10019",1,"36","Epiboly involved in wound healing "," http://amigo.geneontology.org/amigo/term/GO:0090505",0.486169863712012,1.55930087390762
"10020",5,"17","Sphingolipid mediated signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0090520",0.000177205455855229,7.79650436953808
"10021",1,"6","Glomerular visceral epithelial cell migration "," http://amigo.geneontology.org/amigo/term/GO:0090521",0.137449699499339,7.01685393258427
"10022",1,"9","Actin filament reorganization "," http://amigo.geneontology.org/amigo/term/GO:0090527",0.256052708554122,3.50842696629213
"10024",2,"69","Regulation of membrane permeability "," http://amigo.geneontology.org/amigo/term/GO:0090559",0.65931737410236,0.905400507430228
"10026",6,"285","Sensory organ morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0090596",0.420817989694446,1.15345544097276
"10031",3,"93","Activation of GTPase activity "," http://amigo.geneontology.org/amigo/term/GO:0090630",0.301731470620563,1.55930087390762
"10035",1,"12","Response to oxygen-glucose deprivation "," http://amigo.geneontology.org/amigo/term/GO:0090649",0.256052708554122,3.50842696629213
"10054",1,"11","Immunological memory process "," http://amigo.geneontology.org/amigo/term/GO:0090713",0.256052708554122,3.50842696629213
"10055",1,"8","Immunological memory formation process "," http://amigo.geneontology.org/amigo/term/GO:0090715",0.256052708554122,3.50842696629213
"1006",1,"99","Amino acid transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0003333",0.906817353496284,0.438553370786517
"10060",2,"63","Regulation of plasma lipoprotein particle levels "," http://amigo.geneontology.org/amigo/term/GO:0097006",0.603403792399262,1.0024077046549
"10061",1,"41","Energy homeostasis "," http://amigo.geneontology.org/amigo/term/GO:0097009",0.588560749729916,1.16947565543071
"10065",1,"3","Renal protein absorption "," http://amigo.geneontology.org/amigo/term/GO:0097017",0.198937065734469,4.67790262172285
"10070",2,"44","Dendritic cell differentiation "," http://amigo.geneontology.org/amigo/term/GO:0097028",0.370801048217151,1.55930087390762
"10072",2,"59","Regulation of membrane lipid distribution "," http://amigo.geneontology.org/amigo/term/GO:0097035",0.518523123436496,1.16947565543071
"10075",1,"8","Dendritic cell apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0097048",0.404161351344816,2.00481540930979
"10079",1,"7","L-kynurenine metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0097052",0.0712570056044836,14.0337078651685
"10082",4,"94","Dendritic spine organization "," http://amigo.geneontology.org/amigo/term/GO:0097061",0.161664689212928,1.87116104868914
"10083",1,"19","Dendritic spine maintenance "," http://amigo.geneontology.org/amigo/term/GO:0097062",0.404161351344816,2.00481540930979
"10086",2,"29","Response to thyroid hormone "," http://amigo.geneontology.org/amigo/term/GO:0097066",0.263116678901191,2.00481540930979
"10087",2,"19","Cellular response to thyroid hormone stimulus "," http://amigo.geneontology.org/amigo/term/GO:0097067",0.156049198649507,2.80674157303371
"10090",1,"6","Ductus arteriosus closure "," http://amigo.geneontology.org/amigo/term/GO:0097070",0.256052708554122,3.50842696629213
"10092",1,"3","Methyl-branched fatty acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0097089",0.0712570056044836,14.0337078651685
"10099",1,"46","Postsynaptic density organization "," http://amigo.geneontology.org/amigo/term/GO:0097106",0.755165819490379,0.738616203429923
"10100",1,"23","Postsynaptic density assembly "," http://amigo.geneontology.org/amigo/term/GO:0097107",0.522849937607846,1.40337078651685
"10103",1,"12","AMPA glutamate receptor clustering "," http://amigo.geneontology.org/amigo/term/GO:0097113",0.198937065734469,4.67790262172285
"10109",1,"71","Receptor localization to synapse "," http://amigo.geneontology.org/amigo/term/GO:0097120",0.755165819490379,0.738616203429923
"10115",1,"26","Ammonium ion metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0097164",0.404161351344816,2.00481540930979
"10118",1,"7","Mesenchymal stem cell proliferation "," http://amigo.geneontology.org/amigo/term/GO:0097168",0.137449699499339,7.01685393258427
"10121",1,"24","Amelogenesis "," http://amigo.geneontology.org/amigo/term/GO:0097186",0.358386953649252,2.33895131086142
"10123",11,"590","Apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097190",0.933143759552373,0.689155296950241
"10124",2,"224","Extrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097191",0.988147432456453,0.32261397391192
"10125",1,"78","Extrinsic apoptotic signaling pathway in absence of ligand "," http://amigo.geneontology.org/amigo/term/GO:0097192",0.919704783128608,0.412756113681428
"10126",6,"291","Intrinsic apoptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097193",0.850634217253476,0.719677326418899
"10127",2,"76","Execution phase of apoptosis "," http://amigo.geneontology.org/amigo/term/GO:0097194",0.583288526766009,1.03953391593841
"1013",2,"186","Cilium movement "," http://amigo.geneontology.org/amigo/term/GO:0003341",0.811919825597384,0.668271803103264
"10132",1,"26","Renal filtration "," http://amigo.geneontology.org/amigo/term/GO:0097205",0.522849937607846,1.40337078651685
"10138",8,"115","Cellular response to toxic substance "," http://amigo.geneontology.org/amigo/term/GO:0097237",0.0608667698666437,1.87116104868914
"10152",1,"7","Keratinocyte apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0097283",0.137449699499339,7.01685393258427
"10153",1,"17","Hepatocyte apoptotic process "," http://amigo.geneontology.org/amigo/term/GO:0097284",0.446678601078479,1.75421348314607
"10155",1,"44","Programmed necrotic cell death "," http://amigo.geneontology.org/amigo/term/GO:0097300",0.772678571803303,0.701685393258427
"10156",10,"282","Response to alcohol "," http://amigo.geneontology.org/amigo/term/GO:0097305",0.204714727289738,1.34939498703544
"10157",2,"96","Cellular response to alcohol "," http://amigo.geneontology.org/amigo/term/GO:0097306",0.65931737410236,0.905400507430228
"10159",1,"18","Plasma membrane tubulation "," http://amigo.geneontology.org/amigo/term/GO:0097320",0.404161351344816,2.00481540930979
"10168",2,"30","Mitochondrial outer membrane permeabilization "," http://amigo.geneontology.org/amigo/term/GO:0097345",0.396866728844104,1.47723240685985
"10169",1,"5","Neutrophil clearance "," http://amigo.geneontology.org/amigo/term/GO:0097350",0.256052708554122,3.50842696629213
"10186",1,"42","Liver regeneration "," http://amigo.geneontology.org/amigo/term/GO:0097421",0.694137136938252,0.877106741573034
"10187",1,"15","Protein maturation by iron-sulfur cluster transfer "," http://amigo.geneontology.org/amigo/term/GO:0097428",0.256052708554122,3.50842696629213
"10188",25,"728","Supramolecular fiber organization "," http://amigo.geneontology.org/amigo/term/GO:0097435",0.168373820466373,1.22244842031085
"10195",2,"57","Synaptic vesicle localization "," http://amigo.geneontology.org/amigo/term/GO:0097479",0.370801048217151,1.55930087390762
"10197",1,"236","Neuron projection guidance "," http://amigo.geneontology.org/amigo/term/GO:0097485",0.997010443793566,0.179919331604725
"10200",1,"12","Regulation of vesicle size "," http://amigo.geneontology.org/amigo/term/GO:0097494",0.137449699499339,7.01685393258427
"10206",2,"20","Sialylation "," http://amigo.geneontology.org/amigo/term/GO:0097503",0.106540603209174,3.50842696629213
"10207",1,"9","Necroptotic signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0097527",0.256052708554122,3.50842696629213
"10209",8,"216","Myeloid leukocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0097529",0.398478709610479,1.14560880531988
"10210",7,"150","Granulocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0097530",0.208173607183996,1.444646397885
"10211",1,"15","Mast cell migration "," http://amigo.geneontology.org/amigo/term/GO:0097531",0.486169863712012,1.55930087390762
"10212",1,"2","Stress response to acid chemical "," http://amigo.geneontology.org/amigo/term/GO:0097532",0.137449699499339,7.01685393258427
"10213",1,"2","Cellular stress response to acid chemical "," http://amigo.geneontology.org/amigo/term/GO:0097533",0.137449699499339,7.01685393258427
"10217",6,"148","Calcium ion transmembrane import into cytosol "," http://amigo.geneontology.org/amigo/term/GO:0097553",0.229726638839441,1.45176288260364
"10220",3,"89","Lamellipodium organization "," http://amigo.geneontology.org/amigo/term/GO:0097581",0.401591090560636,1.31566011235955
