Data.Matrix,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
ENSMUSG00000028995,3210,2553,2096,3111,1054,663,1012,1027,2962,2692,1311,1420
ENSMUSG00000045007,122,97,53,78,22,10,15,22,74,65,25,44
ENSMUSG00000062785,183,182,143,232,530,384,590,655,225,213,439,492
ENSMUSG00000038268,1117,843,669,783,526,369,654,765,784,653,1777,1436
ENSMUSG00000054589,85,46,36,45,693,394,865,1120,46,57,11,24
ENSMUSG00000102752,52,59,45,75,21,16,20,11,43,45,8,32
ENSMUSG00000069917,18079,3038,1234,74319,962,1248,909,1007,3761,199459,1056,67001
ENSMUSG00000109032,56,34,17,29,56,59,76,81,27,29,43,75
ENSMUSG00000094686,6,7,3,1,16,12,18,10,13,8,0,23
ENSMUSG00000035818,7,5,4,2,15,12,12,5,3,3,0,1
ENSMUSG00000031971,292,246,142,229,126,86,91,98,277,228,141,153
ENSMUSG00000055172,223,174,141,148,73,43,86,75,165,169,84,124
ENSMUSG00000054520,4680,4236,3103,4393,1197,716,1123,1242,4248,4098,1569,1849
ENSMUSG00000040466,3542,2254,2497,2136,1010,432,700,780,2149,2219,1081,1766
ENSMUSG00000017390,216,139,152,193,42,34,30,39,167,193,62,107
ENSMUSG00000047832,1650,1234,1141,1189,692,436,972,1142,1463,1277,2015,1983
ENSMUSG00000074479,13,0,0,0,16,10,0,20,7,0,8,10
ENSMUSG00000024999,1884,1580,1194,1379,1744,1454,2330,2361,1474,1325,5599,5299
ENSMUSG00000021290,1097,733,765,709,550,283,1042,960,975,836,1533,1680
ENSMUSG00000093392,7,25,0,13,10,0,22,0,32,11,50,61
ENSMUSG00000030708,964,769,704,1147,240,186,317,276,930,889,727,714
ENSMUSG00000028654,190,86,95,130,31,42,46,26,159,132,53,133
ENSMUSG00000020075,9175,6679,5178,6936,12044,9241,12472,13170,6046,6106,23048,30738
ENSMUSG00000022098,44,51,31,19,286,196,481,438,71,35,67,158
ENSMUSG00000090592,891,1236,710,1060,1054,1048,343,378,975,1123,526,646
ENSMUSG00000015970,52,42,31,69,18,36,26,18,84,77,77,94
ENSMUSG00000066116,11,0,9,25,12,3,0,0,13,0,0,13
ENSMUSG00000030019,2399,2034,1532,1921,897,589,1131,1357,2031,2019,2517,2302
ENSMUSG00000025915,4047,3702,2988,4027,1440,990,1361,1307,3934,3318,2284,2646
ENSMUSG00000053830,215,123,125,207,37,94,101,173,166,216,297,241
ENSMUSG00000040136,2,2,3,1,15,13,6,8,2,2,0,0
ENSMUSG00000063317,1666,1483,1129,1344,1342,992,1907,1864,1566,1385,5068,4032
ENSMUSG00000045045,21,18,12,18,22,18,33,38,16,15,54,69
ENSMUSG00000028931,3123,2513,1863,2611,696,394,640,845,2958,2627,1022,1380
ENSMUSG00000039725,914,734,582,769,582,413,851,881,833,733,1800,1669
ENSMUSG00000018286,2429,1627,1579,1408,1705,1009,1986,2405,1941,1848,4732,4841
ENSMUSG00000022425,162,111,111,86,66,40,44,33,99,88,33,78
ENSMUSG00000022010,944,814,673,933,482,290,568,743,1169,1144,394,688
ENSMUSG00000037235,8631,6800,5692,6671,1985,1152,1887,2429,7704,6060,1085,1265
ENSMUSG00000029033,870,719,555,782,231,158,217,210,812,691,348,404
ENSMUSG00000020101,3386,3009,2450,2432,1362,865,1137,1255,2386,1891,616,1309
ENSMUSG00000075015,19,281,582,1074,96833,192652,37,25188,1986,1394,20,5048
ENSMUSG00000079553,251,154,161,119,666,496,1001,992,140,96,78,114
ENSMUSG00000031150,5,2,4,4,15,9,6,6,2,4,11,20
ENSMUSG00000054999,27,16,15,23,70,67,98,109,13,20,42,59
ENSMUSG00000098678,11,8,12,3,6,14,6,9,3,2,22,14
ENSMUSG00000060096,59,45,0,31,325,242,158,267,33,92,100,299
ENSMUSG00000026249,698,737,490,728,1553,1470,2313,2943,635,537,433,506
ENSMUSG00000019850,3657,2933,2269,2682,5372,5317,6768,6505,2982,2871,9290,10064
ENSMUSG00000081272,37,24,30,43,5,3,14,17,46,33,42,34
ENSMUSG00000029484,236,206,152,180,139,78,99,75,152,217,52,234
ENSMUSG00000028979,89,49,27,99,96,83,119,142,55,65,185,179
ENSMUSG00000078840,24,25,10,17,17,21,8,4,19,8,12,5
ENSMUSG00000081684,0,15,13,6,15,14,3,4,9,4,15,15
ENSMUSG00000091095,4,12,9,20,44,48,10,79,7,10,0,25
ENSMUSG00000081868,28,36,21,62,10,12,15,14,47,39,13,19
ENSMUSG00000027544,1613,1775,1164,1738,1361,1061,1085,1481,1363,978,401,653
ENSMUSG00000047227,49,37,41,32,18,10,9,11,36,38,11,15
ENSMUSG00000056328,5,8,1,11,15,15,3,4,5,6,3,4
ENSMUSG00000022623,92,113,58,72,79,63,55,25,129,98,23,109
ENSMUSG00000009687,2972,2180,1862,1593,1315,931,935,1088,1676,1385,554,1075
ENSMUSG00000028743,687,522,418,457,218,137,244,313,507,409,604,566
ENSMUSG00000051444,236,176,128,155,103,51,140,151,175,162,326,383
ENSMUSG00000090881,311,248,191,224,78,67,123,118,216,202,88,162
ENSMUSG00000105480,25,11,12,22,1,1,5,6,21,22,20,21
ENSMUSG00000044149,705,605,444,548,877,674,1016,1147,556,543,1855,2002
ENSMUSG00000032997,411,329,244,275,221,152,186,239,284,261,580,581
ENSMUSG00000068373,45,71,42,81,86,120,39,37,62,68,21,57
ENSMUSG00000022793,217,158,187,150,84,40,68,62,146,90,70,131
ENSMUSG00000059658,4,16,2,10,7,8,10,13,5,12,21,9
ENSMUSG00000049580,95,97,80,119,90,36,84,52,91,74,20,28
ENSMUSG00000022768,224,224,181,235,300,274,345,376,214,215,568,783
ENSMUSG00000020180,1298,818,672,943,1961,1210,1610,2100,775,832,1791,4046
ENSMUSG00000037531,724,560,417,493,350,280,584,558,569,539,1277,1267
ENSMUSG00000039789,2425,2182,1724,2159,807,581,1043,1130,2294,2057,2261,1845
ENSMUSG00000098207,11,21,16,13,12,3,12,4,13,11,4,14
ENSMUSG00000051232,773,627,537,491,594,456,819,948,632,606,1564,1594
ENSMUSG00000028008,3,2,2,3,66,81,29,12,2,1,50,71
ENSMUSG00000057969,17,17,16,25,31,36,26,16,18,14,74,95
ENSMUSG00000022094,628,579,402,557,2110,1656,2802,3211,510,435,1248,1265
ENSMUSG00000060678,4471,2649,3139,2826,1694,1334,2257,2202,5593,4677,3076,2708
ENSMUSG00000086962,61,45,30,64,58,99,36,41,39,43,126,174
ENSMUSG00000079138,64,58,29,69,69,60,90,97,57,46,19,21
ENSMUSG00000018774,3041,1932,2465,1861,1394,688,1132,1005,1465,1390,642,1519
ENSMUSG00000081665,1157,1041,939,909,404,203,355,353,1180,1208,223,535
ENSMUSG00000030352,172,147,141,196,81,49,65,48,143,153,48,117
ENSMUSG00000021278,18,26,18,23,61,54,45,36,25,15,79,84
ENSMUSG00000067001,69,60,51,66,22,13,34,30,112,68,41,51
ENSMUSG00000017754,606,575,453,550,216,95,197,210,471,430,114,175
ENSMUSG00000021262,9766,8130,6218,7090,3268,1950,3140,3795,7682,7159,2687,4166
ENSMUSG00000101135,33,51,33,64,107,87,160,155,38,33,27,35
ENSMUSG00000025163,246,126,141,193,56,65,112,94,254,188,142,185
ENSMUSG00000025978,767,640,506,638,187,187,218,331,753,577,257,297
ENSMUSG00000022377,4001,3471,2532,3812,1697,1175,1428,1639,3439,3126,1345,2158
ENSMUSG00000081378,64,34,40,36,12,27,23,29,48,34,77,35
ENSMUSG00000031024,286,237,144,188,261,154,286,235,228,206,412,677
ENSMUSG00000047867,24569,19064,14207,15070,7623,5758,6767,8599,20701,20727,14538,17498
ENSMUSG00000042978,8067,7207,5157,8825,2533,1587,3592,4445,8826,8202,2648,2304
ENSMUSG00000080783,125,92,82,101,50,40,36,64,119,79,44,59
ENSMUSG00000101751,89,96,30,68,20,26,37,53,64,67,54,15
ENSMUSG00000057899,12,10,2,8,10,18,10,15,12,5,12,36
ENSMUSG00000020227,2234,2064,1405,1706,964,758,652,844,1777,1652,908,851
ENSMUSG00000022075,3690,3030,2482,3823,747,531,781,1064,3349,3288,2634,2652
ENSMUSG00000083707,0,0,4,18,4,0,0,4,3,0,3,5
ENSMUSG00000101035,0,0,0,0,0,14,0,0,2,1,0,1
ENSMUSG00000074794,3232,3223,2153,1976,4345,3678,6555,6999,2510,2744,3480,5068
ENSMUSG00000045659,217,201,149,228,1780,1393,2432,3010,234,194,73,106
ENSMUSG00000040269,380,283,269,235,435,260,641,585,297,264,839,915
ENSMUSG00000107705,2064,1590,1826,2855,542,342,718,500,2418,1815,1749,2179
ENSMUSG00000070837,0,0,2,8,0,12,6,6,3,2,14,15
ENSMUSG00000010025,2398,2081,1525,1795,819,534,996,1213,1884,1764,1529,1745
ENSMUSG00000031891,82,60,44,86,41,28,44,27,86,70,30,33
ENSMUSG00000059776,176,143,134,124,57,48,40,87,143,102,93,78
ENSMUSG00000040340,2,0,1,3,15,13,7,3,3,3,3,7
ENSMUSG00000038967,237,150,135,217,64,36,44,74,213,190,26,42
ENSMUSG00000024360,4790,3407,3039,3286,3150,2493,3806,3966,3596,3407,11045,11137
ENSMUSG00000005410,3074,1849,1845,1585,1425,931,1758,1999,1930,1731,6389,5422
ENSMUSG00000031026,9,7,4,3,41,34,19,35,9,5,12,17
ENSMUSG00000048022,88,79,69,70,55,30,44,25,62,77,27,70
ENSMUSG00000043415,1177,919,657,1098,276,134,298,370,1085,1214,325,324
ENSMUSG00000051124,2839,2265,1921,1775,775,591,825,1063,2459,2269,2373,2271
ENSMUSG00000062456,71,22,22,49,0,51,118,4856,68,81,80,141
ENSMUSG00000067591,57,39,32,59,10,17,17,21,74,32,20,78
ENSMUSG00000029426,4147,3592,2819,3241,1927,1158,2058,2126,3337,3063,1298,1798
ENSMUSG00000009210,165,169,98,233,92,79,66,56,203,189,127,179
ENSMUSG00000026915,11777,10495,7874,12298,3769,2586,4137,4787,12541,11937,5753,6927
ENSMUSG00000074505,6,8,8,10,25,40,4,10,19,10,11,18
ENSMUSG00000001348,5591,4311,3626,4301,1349,814,930,940,3653,3729,790,1357
ENSMUSG00000036995,25,32,19,20,245,188,376,371,23,18,26,37
ENSMUSG00000058579,9,12,13,16,13,48,7,9,6,14,9,12
ENSMUSG00000029198,1740,1173,1121,1239,1057,738,1242,1400,1427,1373,3190,3157
ENSMUSG00000091149,11,15,8,19,1,0,4,1,16,17,2,0
ENSMUSG00000005968,163,126,123,136,221,178,294,314,149,144,344,397
ENSMUSG00000070319,2579,1800,1495,1746,1959,1550,2162,2206,1767,1691,5306,6299
ENSMUSG00000055452,7,10,0,0,9,0,0,36,0,0,9,6
ENSMUSG00000058260,63,74,38,84,134,162,61,44,67,81,36,57
ENSMUSG00000108929,325,336,230,431,29,22,14,24,388,420,21,58
ENSMUSG00000084172,19,28,24,21,19,17,8,7,34,16,7,13
ENSMUSG00000020307,1462,1036,883,896,2671,1655,3563,4036,1104,1014,2700,2659
ENSMUSG00000025007,1748,1303,1028,1121,1297,882,1460,1622,1204,1053,4415,4628
ENSMUSG00000027849,2,1,1,5,8,14,0,1,2,0,2,2
ENSMUSG00000042729,1021,781,623,705,1092,831,1585,1746,897,750,3135,3729
ENSMUSG00000079014,28,27,19,12,8,10,5,6,23,12,4,18
ENSMUSG00000020205,41,26,25,41,104,77,177,159,42,61,45,52
ENSMUSG00000004446,2765,1927,1723,1634,1980,1256,2291,2568,1919,1667,5453,5215
ENSMUSG00000056073,100,91,57,105,37,27,34,32,103,82,42,52
ENSMUSG00000049336,8,3,4,3,25,21,2,10,3,3,0,7
ENSMUSG00000024247,51,64,47,40,29,21,27,16,53,40,20,52
ENSMUSG00000024757,124,136,94,135,52,69,53,51,97,100,42,55
ENSMUSG00000006235,152,104,98,81,27,24,21,37,59,45,31,52
ENSMUSG00000066632,0,0,0,0,0,0,36,0,0,0,43,0
ENSMUSG00000024338,7636,5693,5300,4872,2304,1343,2589,3088,5819,5408,5861,6187
ENSMUSG00000037295,1523,1479,1061,1587,1695,1158,2696,3187,1512,1275,604,749
ENSMUSG00000035783,52,31,26,47,28,23,19,16,33,85,20,49
ENSMUSG00000081788,59,13,12,17,129,195,15,98,31,29,38,88
ENSMUSG00000038560,40,35,23,20,114,70,197,262,35,21,37,18
ENSMUSG00000018672,63,62,50,45,27,26,36,19,41,34,12,32
ENSMUSG00000024841,1561,1181,997,1224,872,649,1185,1165,1338,1285,3046,3169
ENSMUSG00000020328,943,785,580,720,2492,1693,3624,3717,753,661,1475,1696
ENSMUSG00000058883,199,175,109,173,106,89,110,81,225,201,421,377
ENSMUSG00000083061,0,0,34,40,0,0,0,0,61,19,1,0
ENSMUSG00000094091,58,47,35,76,17,23,39,28,63,71,49,64
ENSMUSG00000047264,455,331,284,358,198,97,220,293,356,376,371,396
ENSMUSG00000046441,530,417,405,433,329,216,426,452,472,442,1234,959
ENSMUSG00000084991,7,13,16,12,2,9,5,7,12,7,0,8
ENSMUSG00000041468,3,6,1,9,7,10,19,7,3,3,2,4
ENSMUSG00000090996,55,66,50,65,29,10,14,33,84,78,42,32
ENSMUSG00000028836,9,5,3,12,5,15,5,1,4,7,0,5
ENSMUSG00000029610,612,466,401,407,604,411,604,707,477,439,1971,1949
ENSMUSG00000027435,1828,1247,964,1901,721,532,1031,1020,1962,2557,357,721
ENSMUSG00000076619,556,388,304,369,260,226,158,428,373,319,138,167
ENSMUSG00000040247,9787,8915,6958,8888,1966,1242,2427,3009,10754,8478,3739,3852
ENSMUSG00000024937,4396,3846,2962,4098,1777,1205,1645,1819,3916,3464,2104,3092
ENSMUSG00000053706,0,0,0,0,0,7,382,861,0,0,0,0
ENSMUSG00000038768,31,41,42,50,9,18,13,7,39,23,27,14
ENSMUSG00000028156,2816,2340,1918,2193,1612,1179,2528,2360,2441,2282,6934,6416
ENSMUSG00000022496,140,100,85,33,51,52,23,49,27,27,20,27
ENSMUSG00000030510,3,4,3,10,17,26,8,6,1,5,50,53
ENSMUSG00000042284,153,130,117,61,55,35,45,36,142,75,24,131
ENSMUSG00000031779,59,50,41,51,124,111,315,559,31,32,324,470
ENSMUSG00000033707,416,320,253,287,338,236,436,530,272,286,742,915
ENSMUSG00000079710,115,74,48,66,182,134,141,156,56,46,93,147
ENSMUSG00000096942,6,14,9,19,7,3,3,0,13,11,13,10
ENSMUSG00000039275,2197,1813,1378,1805,1322,898,1462,1578,1732,1562,3841,3477
ENSMUSG00000070802,9,4,9,3,7,16,3,3,9,6,0,7
ENSMUSG00000045932,1334,923,994,987,252,234,618,271,800,1280,418,636
ENSMUSG00000015962,7,8,5,7,16,14,12,9,9,6,45,36
ENSMUSG00000051537,4,12,12,8,29,41,11,23,7,4,26,32
ENSMUSG00000058240,1088,996,739,1037,419,292,541,623,1020,911,781,832
ENSMUSG00000027170,5388,3928,3803,3408,2555,1848,3940,3940,4604,4042,8210,8003
ENSMUSG00000049092,310,352,215,275,105,108,145,132,251,196,250,168
ENSMUSG00000060794,33,22,12,44,36,25,32,27,39,38,76,91
ENSMUSG00000024537,556,431,340,375,360,224,543,536,471,406,1345,1304
ENSMUSG00000024798,27,11,19,12,5,5,6,5,14,10,3,13
ENSMUSG00000095859,22,24,9,18,21,2,8,15,18,19,10,20
ENSMUSG00000036006,22697,22627,15366,24771,3932,2941,3628,3904,24457,20716,4907,6665
ENSMUSG00000109489,37,45,23,24,321,462,234,333,31,38,89,119
ENSMUSG00000100522,33,41,24,43,16,8,15,10,46,33,16,19
ENSMUSG00000046961,186,143,105,135,38,47,52,40,128,86,45,65
ENSMUSG00000044365,27,17,18,21,24,20,4,10,20,19,7,9
ENSMUSG00000041360,2434,1820,1507,1882,2963,2453,3702,3988,1779,1769,7898,8720
ENSMUSG00000040940,18113,18823,12471,20780,6847,5189,5538,6900,18431,14157,3952,7402
ENSMUSG00000035382,1994,1752,1375,1750,698,531,793,920,1875,1670,1290,1370
ENSMUSG00000041845,1,3,2,4,94,58,138,161,4,4,1,1
ENSMUSG00000082762,68,70,54,66,33,16,23,52,39,37,47,30
ENSMUSG00000029471,2753,2713,2043,3351,1212,828,1379,1547,3131,3109,1967,2554
ENSMUSG00000002343,333,246,228,265,179,100,264,307,288,253,849,680
ENSMUSG00000041362,425,300,423,298,277,134,176,150,263,257,82,319
ENSMUSG00000108370,25,16,20,10,40,24,20,91,17,14,19,29
ENSMUSG00000048703,0,4,3,2,10,22,0,1,1,1,0,0
ENSMUSG00000038349,229,212,228,307,179,155,114,116,213,204,66,179
ENSMUSG00000026037,2013,1533,1323,1373,1426,1089,1899,1791,1496,1425,4199,3987
ENSMUSG00000099366,1,2,0,0,0,1,0,156,0,0,0,1
