species_id,official_name,compact_name,kingdom,type
394,Sinorhizobium fredii NGR234,Sinorhizobium fredii NGR234,bacteria,periphery
882,Desulfovibrio vulgaris str. Hildenborough,Desulfovibrio vulgaris Hildenborough,bacteria,periphery
883,Desulfovibrio vulgaris str. Miyazaki F,Desulfovibrio vulgaris Miyazaki,bacteria,periphery
1140,Synechococcus elongatus PCC 7942,Synechococcus elongatus PCC7942,bacteria,periphery
1148,Synechocystis sp. PCC 6803,Synechocystis sp. PCC6803,bacteria,core
2110,Mycoplasma agalactiae,Mycoplasma agalactiae,bacteria,periphery
2850,Phaeodactylum tricornutum,Phaeodactylum tricornutum,eukaryota,core
3055,Chlamydomonas reinhardtii,Chlamydomonas reinhardtii,eukaryota,core
3218,Physcomitrella patens,Physcomitrella patens,eukaryota,core
3694,Populus trichocarpa,Populus trichocarpa,eukaryota,core
3702,Arabidopsis thaliana,Arabidopsis thaliana,eukaryota,core
3711,Brassica rapa,Brassica rapa,eukaryota,core
3847,Glycine max,Glycine max,eukaryota,core
4081,Solanum lycopersicum,Solanum lycopersicum,eukaryota,core
4113,Solanum tuberosum,Solanum tuberosum,eukaryota,core
4513,Hordeum vulgare,Hordeum vulgare,eukaryota,core
4533,Oryza brachyantha,Oryza brachyantha,eukaryota,periphery
4538,Oryza glaberrima,Oryza glaberrima,eukaryota,periphery
4555,Setaria italica,Setaria italica,eukaryota,core
4558,Sorghum bicolor,Sorghum bicolor,eukaryota,periphery
4577,Zea mays,Zea mays,eukaryota,core
4641,Musa acuminata,Musa acuminata,eukaryota,core
4787,Phytophthora infestans,Phytophthora infestans,eukaryota,core
4896,Schizosaccharomyces pombe,Schizosaccharomyces pombe,eukaryota,core
4929,Pichia guilliermondii,Pichia guilliermondii,eukaryota,periphery
4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,eukaryota,core
4950,Torulaspora delbrueckii,Torulaspora delbrueckii,eukaryota,core
4952,Yarrowia lipolytica,Yarrowia lipolytica,eukaryota,core
4956,Zygosaccharomyces rouxii,Zygosaccharomyces rouxii,eukaryota,periphery
5022,Leptosphaeria maculans,Leptosphaeria maculans,eukaryota,core
5057,Aspergillus clavatus,Aspergillus clavatus,eukaryota,periphery
5059,Aspergillus flavus,Aspergillus flavus,eukaryota,periphery
5061,Aspergillus niger,Aspergillus niger,eukaryota,periphery
5062,Aspergillus oryzae,Aspergillus oryzae,eukaryota,periphery
5085,Aspergillus fumigatus,Aspergillus fumigatus,eukaryota,core
5141,Neurospora crassa,Neurospora crassa,eukaryota,core
5180,Sclerotinia sclerotiorum,Sclerotinia sclerotiorum,eukaryota,periphery
5270,Ustilago maydis,Ustilago maydis,eukaryota,core
5297,Puccinia graminis,Puccinia graminis,eukaryota,core
5306,Phanerochaete chrysosporium,Phanerochaete chrysosporium,eukaryota,periphery
5507,Fusarium oxysporum,Fusarium oxysporum,eukaryota,periphery
5518,Gibberella zeae,Gibberella zeae,eukaryota,core
5661,Leishmania donovani,Leishmania donovani,eukaryota,periphery
5664,Leishmania major,Leishmania major,eukaryota,periphery
5691,Trypanosoma brucei,Trypanosoma brucei,eukaryota,periphery
5722,Trichomonas vaginalis,Trichomonas vaginalis,eukaryota,core
5759,Entamoeba histolytica,Entamoeba histolytica,eukaryota,periphery
5762,Naegleria gruberi,Naegleria gruberi,eukaryota,periphery
5786,Dictyostelium purpureum,Dictyostelium purpureum,eukaryota,core
5811,Toxoplasma gondii,Toxoplasma gondii,eukaryota,periphery
5821,Plasmodium berghei,Plasmodium berghei,eukaryota,periphery
