Genes,Comparison1_lgc,Comparison1_FDR,Comparison2_lgc,Comparison2_FDR,Comparison3_lgc,Comparison3_FDR
ENSMUSG00000083061,5.961585276,0.0589,-0.407846365,0.069342207,-0.2396713,0.025772841
ENSMUSG00000061724,5.694634654,0.0026,0.117456949,0.023315913,-1.4075222,0.050086349
ENSMUSG00000094446,5.308284589,0.00215,-0.024418514,0.012806097,-0.24548583,0.019796923
ENSMUSG00000061311,4.816048986,4.65E-19,0.22042567,0.05969319,-1.31135769,0.040758685
ENSMUSG00000070960,4.018709488,0.0327,1.318713351,0.079177701,0.312113824,0.065670089
ENSMUSG00000025433,3.989561279,4.46E-26,0.101547336,0.033389511,-0.962762341,0.00241841
ENSMUSG00000069919,3.940595039,0.00851,-1.06972935,0.031955418,1.722700984,0.013996805
ENSMUSG00000052305,3.698050464,0.0117,-0.710620967,0.082523522,0.927866208,0.088887475
ENSMUSG00000073940,3.5620608,0.0125,-0.283537855,0.01606608,0.080570093,0.08733594
ENSMUSG00000027556,3.557556175,1.08E-08,-1.360685172,0.089510424,-1.788123213,0.021618841
ENSMUSG00000083672,3.527220271,0.0106,0.575913291,0.01790318,0.947845838,0.040730776
ENSMUSG00000100309,3.383456043,0.0308,-0.455252772,0.058482952,1.270960326,0.013994513
ENSMUSG00000044734,3.365626067,6.47E-129,1.310707677,0.036866697,0.876000393,0.099654644
ENSMUSG00000040447,3.285114206,4.54E-64,-0.210438902,0.029292354,-0.672715801,0.082297078
ENSMUSG00000056457,3.162602804,0.00855,-1.605801818,0.030680067,1.932835996,0.008057988
ENSMUSG00000108929,3.02934859,8.60E-21,1.276139468,0.069055278,0.407034895,0.06789062
ENSMUSG00000073063,2.983423646,0.0671,0.26443544,0.002400814,1.227248782,0.069046306
ENSMUSG00000004655,2.980840165,5.99E-08,-1.51785675,0.063180208,0.017113491,0.012585647
ENSMUSG00000026582,2.967027091,2.26E-17,-1.304472515,0.067686075,0.7860228,0.090210598
ENSMUSG00000083244,2.926497338,0.00202,1.686188602,0.016200361,-1.244960896,0.084231024
ENSMUSG00000032334,2.79808015,3.38E-09,0.572112586,0.050443758,-0.890747374,0.007262695
ENSMUSG00000008843,2.797815413,0.00104,1.889623466,0.057614002,1.152345525,0.033016324
ENSMUSG00000020990,2.765783685,2.00E-23,1.36462993,0.070964949,1.032663256,0.006497221
ENSMUSG00000106298,2.753130848,0.00614,-1.140004754,0.099590214,1.534160351,0.05144675
ENSMUSG00000067586,2.745495419,5.48E-57,1.798897369,0.086181741,-1.14126133,0.006946419
